Class ID,Common Name,Family
4,Golden_Eagle,Accipitridae
13,Common_Black_Hawk,Accipitridae
14,Northern_Harrier,Accipitridae
15,Swallow_tailed_Kite,Accipitridae
16,White_tailed_Kite,Accipitridae
17,Bald_Eagle,Accipitridae
18,Mississippi_Kite,Accipitridae
23,Belted_Kingfisher,Alcedinidae
27,Northern_Pintail,Anatidae
42,Bufflehead,Anatidae
52,Common_Merganser,Anatidae
57,Brant,Anatidae
65,Fulvous_Whistling_Duck,Anatidae
70,Great_Egret,Ardeidae
72,American_Bittern,Ardeidae
110,American_Golden_Plover,Charadriidae
115,Rock_Pigeon,Columbidae
125,American_Crow,Corvidae
136,Groove_billed_Ani,Cuculidae
174,Crested_Caracara,Falconidae
182,Evening_Grosbeak,Fringillidae
198,Sandhill_Crane,Gruidae
201,Barn_Swallow,Hirundinidae
230,Herring_Gull,Laridae
252,Least_Tern,Laridae
322,Wild_Turkey,Phasianidae
323,Ring_necked_Pheasant,Phasianidae
324,Ruffed_Grouse,Phasianidae
334,Northern_Flicker,Picidae
381,Ruddy_Turnstone,Scolopacidae
397,Short_billed_Dowitcher,Scolopacidae
399,Marbled_Godwit,Scolopacidae
429,White_Ibis,Threskiornithidae
432,Black_chinned_Hummingbird,Trochilidae
